NOM;ANNE;GENRE
Brick Mansions;2014-04-23;policier
Inside Man - l'homme d'intérieur;2006-04-12;policier
Copland;1997-10-29;policier
Pulp Fiction;1994-10-26;policier
Les Affranchis;1990-09-12;policier
Le Parrain;1972-03-15;policier
Effets secondaires;2013-04-03;policier
Hitman;2007-12-26;policier
Black Coal;2014-06-11;policier
Léon;1994-09-14;policier
American Gangster;2007-11-14;policier
Je fais le mort;2013-12-11;policier
Public Enemies;2009-07-08;policier
Bullhead;2012-02-22;policier
Le Transporteur;2002-10-23;policier
Slevin;2006-06-28;policier
Cogan : Killing Them Softly;2012-12-05;policier
Trainspotting;1996-06-19;policier
Broken City;2013-06-26;policier
Les Lyonnais;2011-11-30;policier
Collateral;2004-09-29;policier
A bout portant;2010-12-01;policier
Mesrine : L'Ennemi public n°1;2008-11-19;policier
Couvre-feu;1998-12-16;policier
36 Quai des Orfèvres;2004-11-24;policier
Adèle Blanc-Sec;2010-04-14;policier
Alex Cross;2012-12-19;policier
Mesrine : L'Instinct de mort;2008-10-22;policier
Braquage à l'anglaise;2008-08-06;policier
La Vie de David Gale;2003-04-23;policier
L'union sacrée;1989-03-15;policier
O'Brother;2000-08-30;policier
Fast and Furious 5;2011-05-04;policier
Contre-enquête;2007-03-07;policier
Dragon Rouge;2002-10-30;policier
Layer Cake;2005-07-13;policier
Sexy Dance;2006-11-15;policier
Flic Story;1975-10-01;policier
Les Incorruptibles;1987-10-21;policier
MR 73;2008-03-12;policier
Beur sur la ville;2011-10-12;policier
L'Attaque du métro 123;2009-07-29;policier
Prête à tout;1995-12-06;policier
Le Guetteur;2012-09-05;policier
Taxi 4;2007-02-14;policier
Le Dahlia noir;2006-11-08;policier
Donnie Brasco;1997-03-19;policier
Memories of Murder;2004-06-23;policier
Tueurs nés;1994-09-21;policier
Bad Boys;1995-07-05;policier
Négociateur;1998-11-04;policier
L'Autre vie de Richard Kemp;2013-06-05;policier
Blue Velvet;1987-01-21;policier
Kwaidan;1965-05-15;horreur
Le Cauchemar de Dracula;1959-02-04;horreur
Insidious : Chapitre 2;2013-10-02;horreur
L'Antre de la folie;1995-02-08;horreur
The Devil's Rejects;2006-07-19;horreur
Memento mori;2002-05-08;horreur
Psycho Beach Party;2001-08-15;horreur
Le Labyrinthe 2;2015-10-14;science-fiction
Edge Of Tomorrow;2014-06-04;science-fiction
I Origins;2014-09-24;science-fiction
Chappie;2015-03-04;science-fiction
Transcendance;2014-06-25;science-fiction
La Planète des singes : l'affrontement;2014-07-30;science-fiction
Under the Skin;2014-06-25;science-fiction
Tomorrowland;2015-05-20;science-fiction
X-Men: Days of Future Past;2014-05-21;science-fiction
V pour Vendetta;2006-04-19;science-fiction
Avatar 2;2016-12-01;science-fiction
Zero Theorem;2014-06-25;science-fiction
Les Âmes Vagabondes;2013-04-17;science-fiction
Prometheus;2012-05-30;science-fiction
Mr. Nobody;2010-01-13;science-fiction
Avatar;2009-12-16;science-fiction
Looper;2012-10-31;science-fiction
Source Code;2011-04-20;science-fiction
Numéro quatre;2011-04-06;science-fiction
Contagion;2011-11-09;science-fiction
Watchmen - Les Gardiens;2009-03-04;science-fiction
Iron Man 3;2013-04-24;science-fiction
La Planète des singes : les origines;2011-08-10;science-fiction
Les Fils de l'homme;2006-10-18;science-fiction
Equilibrium;2003-07-09;science-fiction
John Carter;2012-03-07;science-fiction
L'Agence;2011-03-23;science-fiction
Real Steel;2011-10-19;science-fiction
Orange mécanique;1972-04-21;science-fiction
The Fountain;2006-12-27;science-fiction
2012;2009-11-11;science-fiction
Battleship;2012-04-11;science-fiction
The Box;2009-11-04;science-fiction
Idiocracy;2007-04-25;science-fiction
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles);1977-10-19;science-fiction
Super 8;2011-08-03;science-fiction
X-Men: Le Commencement;2011-06-01;science-fiction
Déjà Vu;2006-12-13;science-fiction
Transformers;2007-07-25;science-fiction
28 semaines plus tard;2007-09-19;science-fiction
Star Wars : Episode V - L'Empire contre-attaque;1980-08-20;science-fiction
Brazil;1985-02-20;science-fiction
Independence Day;1996-10-02;science-fiction
La Planète des singes;2001-08-22;science-fiction
The Martian;2015-12-02;science-fiction
Pi;1999-02-10;science-fiction
Push;2009-02-04;science-fiction
Dune;1985-02-06;science-fiction
La Planète au trésor, un nouvel univers;2002-11-27;science-fiction
Terminator;1985-04-24;science-fiction
Aliens vs. Predator - Requiem;2008-01-02;science-fiction
Mad Max 2;1982-08-11;science-fiction
Steak;2007-06-20;science-fiction
Les Visiteurs 2 : Les couloirs du temps;1998-02-11;science-fiction
La Machine à explorer le temps;1961-01-01;science-fiction
Final fantasy, les créatures de l'esprit;2001-08-15;science-fiction
